fitness,archivo
82.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
82.0,BCL1
82.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
80.0,BCL1
81.0,BCL1
82.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
82.0,BCL1
82.0,QL1
84.0,QL1
82.0,QL1
81.0,QL1
82.0,QL1
83.0,QL1
81.0,QL1
83.0,QL1
81.0,QL1
82.0,QL1
84.0,QL1
82.0,QL1
82.0,QL1
82.0,QL1
81.0,QL2
84.0,QL2
84.0,QL2
81.0,QL2
83.0,QL2
82.0,QL2
82.0,QL2
91.0,QL2
84.0,QL2
84.0,QL2
81.0,QL2
82.0,QL2
82.0,QL2
83.0,QL2
81.0,QL3
82.0,QL3
82.0,QL3
83.0,QL3
81.0,QL3
81.0,QL3
83.0,QL3
83.0,QL3
82.0,QL3
81.0,QL3
81.0,QL3
81.0,QL3
84.0,QL3
82.0,QL3
81.0,QL4
84.0,QL4
82.0,QL4
83.0,QL4
82.0,QL4
81.0,QL4
82.0,QL4
83.0,QL4
83.0,QL4
82.0,QL4
82.0,QL4
82.0,QL4
82.0,QL4
82.0,QL4
82.0,QL5
81.0,QL5
84.0,QL5
82.0,QL5
83.0,QL5
84.0,QL5
82.0,QL5
81.0,QL5
81.0,QL5
82.0,QL5
81.0,QL5
82.0,QL5
84.0,QL5
82.0,QL5
